English Word,Persian Word
debtor,ستون بدهکار دفتر روزنامه ، ستون بدهکار ، مقروض ، بدهکار 
debug,تصحیح اشتباهات ، اشکالزدایی ، خطایابی ، برطرف کردن اشکالات ، عیب 
deburring,خشزدایی ، صاف کردن لبه های تیز 
debye energy function,تابع انرژی دبای
laplace's first law,قانون اوّل لاپلاس
laplace's law of succession,قانون توالی لاپلاس
laplace's method,روش لاپلاس
laplace's second law,قانون دوم لاپلاس
laplace's succession rule,قاعده توالی لاپلاس
laplace's theorem,قضیه ی لاپلاس
laplacian,لاپلاسی
laplacian operator,عملگر لاپلاسی
laplas,پیتر سیمون لاپلاس در 23 مارس 1749 در حوالی پون لوک فرانسه متولد شد پد ... 
lapse,افت ، تنزیل ، تنزل ، کاهش 
lapse rate,نرخ افت ، سرعت افت 
lare sample theory,نظریه ی بزرگ ، نمونه ها 
large,بزرگ
large deviations,انحرافهای بزرگ
large numbers,اعداد بزرگ ، شرط لازم و کافی قانون اعداد بزرگ 
large quantity,بی نهایت بزرگ
large sample,نمونه بزرگ ، بزرگ-نمونه ، بزرگ‌نمونه 
large sample approximation,تقریب با نمونه ی بزرگ
large sample inference,استنباط بزرگ نمونه ای ، استنباط با نمونه ی بزرگ 
large sample theory,نظریه بزرگ‌نمونه‌ای ، نظریه ی بزرگ نمونه ها 
large scale production,تولید در مقیاس وسیع ، تولید انبوه ، تولید مقیاس 
largely,جامعا ، به طور فراگیر 
largen,وسعت بخشیدن ، بزرگ کردن 
larger,بزرگتر
larger area,سطح بزرگتر ، قطعه ی بیشتر از نیم 
larger than,بزرگ تر از
larger topology,توپولوژی قویتر
largest,بزرگترین
largest member,بزرگترین عدد ، بزرگترین عضو 
last,آخرین ، دوام آوردن ، واپسین ، پائیدن 
last come first serve,سرویس به ترتیب عکس ورود ، نظام آخرین مشتری 
last element,آخرین عنصر ، عنصر آخر ، جزء انتها ، عضو انتها 
last in first out,اولین صادره از آخرین وارده
last theorem of fermat,قضیه ی آخر فرما
last theorem of poincare,آخرین قضیه ی پوانکاره ، قضیه ی نقطه ی ثابت پوانکاره-برکاف 
lastest time of occurence,دیرترین زمان مجاز برای وقوع
latch,زبانه ، بست ، قفل ، قفل فنری ، چفت 
latch jig,جیگ چفتی
late finish time,دیترین زمان پایان
late start time,دیرترین زمان شروع
latent,1  پنهان 2  راکد ، نهفته ، نهان 
latent root,مقدار ویژه ، ریشه ی راکد 
latent root distribution,توزیع ریشه راکد
latent root of a matrix,مقدار ویژه ی یک ماتریس
latent root regression,رگرسیون ریشه راکد
latent structure analysis,تحلیل ساختار پنهان
latent vector,بردار راکد ، بردار ویژه 
latent-variable modeling,مدل‌بندی کردن متغیّر پنهان
lateral,پهلوئی ، جانبی 
lateral area,مساحت جانبی ، سطح جانبی 
lateral edge,یال جانبی
lateral face,وجه جانبی
lateral surface,رویه ی جانبی
laterally,از پهلو ، جانبا 
latex,لاتک ، لاستیک خام ، شیره ی لاستیک ، لاتکس 
latin cube,مکعب لاتین
latin square,مربّع لاتین ، مربع لاتین 
latin square design,طرح مربع لاتین
latin squares,مربعهای لاتین ، مربعات لاتین 
latitude,عرض جغرافیایی ، عرض 
latter,نوع اول ، دوم ، اخیر ، قسمت اخیر 
lattice,مشبّکه ، مشبّکه / کلمات مرتبط admissible lattice complete lattice com ... 
lattice design,طرح مشبّکه‌ای
lattice diagram,دیاگرام شبکه
doubly asymptotic,دو مجانبی
doubly balanced,دو بار متعادل
doubly equidistant curve,خم مضاعف هم‌فاصله ، منحنی مضاعف هم فاصله 
doubly noncentral distributions,توزیعهای نامرکزی دوگانه
doubly periodic,دو تناوبه ، با دو تناوب 
doubly periodic function,تابع دو تناوبه ، تابع دو تناوبی ، تابع دو دوره ای 
doubly ruled surface,رویه ی دو خطّ خطّی ، رویه ی دو خط خطی 
doubly stochastic,استوکاستیک دوباری ، تصادفی دو باری 
doubly stochastic process,فرایند تصادفی دوگانه
doubly traced,دو ردی ، ‌ دو اثری 
doubly transitive permutation group,گروه جایگشتی دوگانه ی ترایا
doubtfut debts,مطالبات مشکوک الوصول
doudecimal scale,مقیاس دوازدهی
doulity,دوگانی
dowel,میل مهار ، میخ چوبی ، خار اتصال ، مفتول 
dowel pin,پین قالب
down,عمودی
down milling,فرزکاری همراه
down nose,دماغه به پایین
down time,از کار افتادگی ، زمان خوابیدگی ، خوابیدن ، زمان از کار افتادگی ، زمان ... 
downhand,مسطح و پایین
downhill,رو به پایین ، سرپایینی 
downward,به طرف پایین ، به سمت پایین 
downward bias,پایین-اریبی
downward concave function,تابع مقعر روبه پایین
downward concavity,تقعّر به طرف پایین ، تقعر به طرف پایین 
downwards,به پایین به طرف پایین
dozen,دو جین
draft,ترسیم کردن ، نقشه کشیدن ، برات ، ‌حواله ، یخ ، شیب ، پیش رسم ، نقشه ، ... 
drafting,ترسیم ، نقشه کشی 
draftsman,رسام ، نقشه کش ، طراح 
draftsmanship,رسم فنّی draughtsmanshipdraftsmanship ، نقشه کشی ، رسم فنی 
drag,حرکت پویا ، خطوط موجی برش ، درجه ، پسکشی ، درجه ی زیر ، درجه ی پایینی ... 
dragout phase,فاز کشیدگی
dram,درم
drastic,شدید
draw,رسم کردن ، کشیدن ، ثابت کردن ، قرعه کشی ، بیرون کشیدن ، استخراج کردن  ... 
draw a conclusion,نتیجه گرفتن
draw a line,مرور دادن یک خطّ ، مرور دادن یک خط ، رسم یک خط 
draw bar,میله ی اتصال ، میل کشش ، میله ی کشش ، سپربند 
draw from,مرسوم از
draw out,بیرون کشیدن ، استخراج کردن 
draw spike,میله در آور
draw through,عبور کردن
draw with replacement,استخراج با جایگذاری(آمار)
draw without replacement,استخراج بدون جایگذازی (آمار) ، استخراج بدون جایگذاری 
drawing,رسم ، استخراج ، ترسیم ، طرّاحی ، طرح ، قرعه کشی ، طراحی ، کشیدن ، کشش ... 
drawing account,حساب برداشت
drawing board,تخته رسم
drawing cutter tube,لوله ی مسی کشیده شده ، لوله ی مسی بدون درز 
drawing die,قالب کشش ، قالب کششی 
drawing editor,ادیتور نقشه کشی
drawing elements,عناصر نقشه
drawing extent,وسعت نقشه
drawing limit,محدوده ی نقشه
drawing lots,استخراج تصادفی ، اقتراع ، قرعه کشی 
drawing paper,کاغذ رسم
drawing pin,پونز
drawingless,بی شکل
drawingless flowchart,نمودار گردشی بی شکل
drawn parts,قطعات کشیده شده
drawn up in duplicte,صادر شده در دو برگ
drier,خشک کننده ، خشک کن 
drift,سوراخ کردن ، گوه ، مته 
efficient estimate,برآورد سودبخش
efficient estimator,برآوردکننده‌ی کارا ، برآوردگر کارا ، برآورد کننده ی کارا ، برآوردگر ک ... 
efficient score,نمره‌ی کارا ، نمره کارآ 
efficient solution,جواب کارا
efficient solutions,جواب های کارا
effifent,کارا ، کارآمد ، موثّر ، رسا 
effifent estimate,برآورد سودبخش
efron-morris estimator,برآوردگر افران-موریس
egorov theorem,قضیه ی یگوروف
eigen,خاص ، مشخّص ، مشخّصه ، ویژه ، نهان ؛ راکد ، آیگن ، مشخص ، مشخصه ، راکد 
eigen element,ویژه بردار ، بردار مشخصه 
eigen frequency,بسامد ویژه
eigen function,ویژه تابع ، تابع ویژه ، تابع مشخصه ، تابع خاص 
eigen function expansion,بسط ویژه ی تابعی
eigen matrix,ویژه ماتریس
eigen space,فضای ویژه
eigen state,حالت ویژه
eigen value,مقدار ویژه ، ویژه مقدار ، مقدار مشخصه ، ریشه ی مشخصه ، مقدار خاص ، ری ... 
